pk_event_dim	event_text	sport_p
88198	PACIFIC SCHOOL GAMES - MSAC AND OPTUS OVAL          DIVING MELB SPORTS AQUATIC CENT MELB SPORTS AQUATIC CENT    PACIFIC SCHOOL GAMES          DIVING   AFTERNOON ACCESS ONLY	nonsport
1306	AUS OPEN GROUND PASS - MELB PARK - MELBOUR     GROUND PASS ONLY      Melbourne Park   Australian Open 2000      Melbourne Park     GROUND PASS ONLY  Friday 28 January 2000  Play Commences 11:00am	tennis
270222	MELBOURNE STORM SEASON 2014 - MRS      MELBOURNE STORM         AAMI PARK         AAMI PARK   NATIONAL RUGBY LEAGUE      MELBOURNE STORM         V KNIGHTS     GATES OPEN 4:30PM	nrl
257628	2013 MCC INTERNAL TICKETS- MCG         HAWTHORN MELBOURNE CRICKET GROUND MELBOURNE CRICKET GROUND    MCC MEMBERS RESERVE    PRELIMINARY FINAL 1         HAWTHORN     vs. GEELONG CATS	afl
277532	BRISBANE INTERNATIONAL 2015 - QTN     Entry from 4:30pm  BRISBANE INTERNATIONAL  BRISBANE INTERNATIONAL     QLD TENNIS CENTRE       NIGHT SESSION     Entry from 4:30pm   Play commences 7:00pm	tennis
69820	CRONULLA SHARKS 2003 HOME GAMES     SHARKS V DRAGONS        TOYOTA PARK        TOYOTA PARK   NATIONAL RUGBY LEAGUE    TELSTRA PREMIERSHIP     SHARKS V DRAGONS 	nrl
175746	2011 MCC BARCODES - MELBOURNE CRICKET GROUND          CARLTON MELBOURNE CRICKET GROUND MELBOURNE CRICKET GROUND     MCC BARCODE EVENT         ROUND 20          CARLTON       vs. MELBOURNE	afl
83150	WOLVES SEASON HOME GAMES - WIN   WOLLONGONG WOLVES vs        WIN STADIUM        WIN STADIUM     GOODMAN SURVEYORS         presents   WOLLONGONG WOLVES vs          CARLTON	soccer
214212	SYDNEY SPRING CARNIVAL 2012       COX PLATE DAY     ROSEHILL GARDENS     ROSEHILL GARDENS   2012 SPRING CARNIVAL       Men of League       COX PLATE DAY   Bacardi Cocktail Bar	horse_racing
261878	ATC CHRISTMAS AND SUMMER RACING - ATC    BLACKWOODS FESTIVAL     ROSEHILL GARDENS     ROSEHILL GARDENS    2013 SUMMER RACING    BLACKWOODS FESTIVAL        STAKES DAY        Bacardi Bar	horse_racing
